Az ingatlan helye;Családi ház átlagár, ezer Ft/m²;Családi ház átlagár darab;Többlakásos társasház átlagár, ezer Ft/m²;Többlakásos társasház darab;Lakótelepi panel átlagár, ezer Ft/m²;Lakótelepi panel darab;Lakások összesen átlagár, ezer Ft/m²;Lakások összesen darab;Lakások összesen relatív szórás, %
Budapest;753;861;955;14636;739;4867;894;20364;34
Bács-Kiskun vármegye;218;1448;463;995;447;405;336;2848;62
Baranya vármegye;142;87;432;1151;457;904;431;2142;47
Békés vármegye;201;482;271;440;309;610;264;1532;56
Borsod-Abaúj-Zemplén vármegye;246;926;305;1293;321;1477;297;3696;49
Csongrád-Csanád vármegye;291;842;564;1101;500;771;461;2714;47
Fejér vármegye;343;505;547;877;479;831;475;2213;45
Győr-Moson-Sopron vármegye;395;478;665;1522;580;568;596;2568;40
Hajdú-Bihar vármegye;411;655;665;1067;623;812;586;2534;40
Heves vármegye;192;929;456;782;410;130;320;1841;66
Jász-Nagykun-Szolnok vármegye;203;518;385;733;371;257;320;1508;51
Komárom-Esztergom vármegye;260;207;468;1048;468;439;442;1694;37
Nógrád vármegye;142;1059;247;237;228;270;173;1566;71
Pest vármegye;491;1313;730;2143;621;508;637;3964;45
Somogy vármegye;315;145;620;613;488;168;548;926;81
Szabolcs-Szatmár-Bereg vármegye;216;1247;456;861;417;315;327;2423;58
Tolna vármegye;154;291;329;214;433;386;317;891;59
Vas vármegye;314;515;477;689;488;305;424;1509;44
Veszprém vármegye;370;335;555;958;535;516;515;1809;62
Zala vármegye;307;366;481;859;415;119;428;1344;58
